;;;;;;;Таблица частот пересекающихся биграмм для текста с пробелами
;а;б;в;г;д;е;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;ё;_;
а;1.22e-05;0.000356;0.00329;0.000965;0.00178;0.00134;0.00184;0.00314;0.000284;0.000777;0.0054;0.00771;0.00319;0.00328;2.52e-05;0.000699;0.00182;0.00506;0.00375;4.55e-05;0.000142;0.000776;3.65e-05;0.000837;0.000936;0.000183;0;0;0;1.62e-06;0.000921;0.00183;8.12e-07;0.0159;
б;0.000528;4.06e-06;4.63e-05;3.25e-06;1.95e-05;0.00232;3.25e-06;0;0.000619;0;8.52e-05;0.000643;5.11e-05;0.000231;0.00177;0;0.000914;0.000178;1.62e-06;0.00119;0;3.33e-05;8.12e-07;1.3e-05;5.68e-06;0.000188;0.000178;0.00401;3.98e-05;0;1.62e-06;0.000511;0;0.000353;
в;0.00587;4.06e-06;4.14e-05;0.000193;0.000749;0.00536;0;0.000434;0.00311;0;0.000123;0.0009;9.58e-05;0.00168;0.00608;0.000426;0.000539;0.00371;0.000189;0.000451;0;4.38e-05;1.46e-05;0.000104;0.000658;1.54e-05;4.06e-06;0.00303;0.000125;0;0;0.000155;0;0.00516;
г;0.00108;0;8.12e-07;8.12e-07;0.0011;0.000778;0;8.12e-07;0.000496;0;4.22e-05;0.00164;1.95e-05;0.000215;0.00835;0;0.000494;1.54e-05;4.06e-06;0.000395;0;0;0;2.52e-05;6.49e-06;0;0;0;0;0;0;0;0;0.000994;
д;0.00531;8.93e-06;0.000666;4.87e-06;2.11e-05;0.00434;1.46e-05;4.87e-06;0.00219;0;0.000238;0.000575;4.3e-05;0.00187;0.00383;6.98e-05;0.00154;0.000261;0.000214;0.00151;8.12e-07;7.31e-05;0.000313;6.17e-05;7.47e-05;0;4.87e-06;0.000481;0.000847;0;1.22e-05;0.000243;0;0.000789;
е;2.35e-05;0.00144;0.00205;0.00319;0.0029;0.00159;0.00073;0.00131;0.000125;0.00219;0.0013;0.00525;0.00427;0.00754;0.000279;0.00129;0.00591;0.00425;0.00565;0.000119;9.74e-06;0.000583;0.000385;0.00122;0.000902;0.000819;0;0;0;8.12e-07;0.000256;0.000304;0;0.0186;
ж;0.00129;4.06e-05;0;3.25e-06;0.00081;0.00481;7.31e-06;0;0.00132;0;4.22e-05;2.27e-05;4.06e-06;0.000703;3.08e-05;8.12e-07;4.06e-06;7.31e-06;1.87e-05;0.000208;0;0;0;6.49e-06;0;0;0;0;2.11e-05;0;8.12e-07;0;6.49e-06;0.000469;
з;0.00479;0.000105;0.000959;0.000381;0.000633;0.000242;4.71e-05;4.71e-05;0.000356;0;9.25e-05;0.000223;0.000244;0.00184;0.000412;1.06e-05;0.000202;1.7e-05;5.68e-06;0.000263;0;0;1.62e-06;1.7e-05;3.25e-06;0;3.25e-05;0.000312;0.00131;0;0.000163;0.000521;0;0.00122;
и;6.58e-05;0.000592;0.00224;0.000373;0.00152;0.00171;0.000216;0.00189;0.000542;0.00103;0.00139;0.00532;0.00241;0.00317;0.000309;0.000727;0.000401;0.00208;0.00422;7.31e-06;3.33e-05;0.00129;0.000731;0.00158;0.000568;0.000147;0;0;0;0;0.000258;0.00114;0;0.0172;
й;2.44e-06;3.08e-05;3.25e-06;4.87e-06;0.000234;4.06e-06;8.12e-07;3.25e-06;1.62e-06;0;6.49e-05;1.54e-05;3.65e-05;0.000501;6.49e-06;2.44e-06;2.44e-06;0.000503;0.000404;0;0;8.12e-07;5.84e-05;0.000182;0.00022;0;0;0;0;2.44e-06;0;0;0;0.0059;
к;0.00619;0;0.000155;3.25e-06;2.68e-05;0.000471;5.68e-06;7.31e-06;0.00184;0;6.49e-06;0.000443;2.44e-06;0.00227;0.00775;3.25e-06;0.00145;0.000321;0.000492;0.00102;0;2.44e-06;1.38e-05;8.12e-07;4.87e-06;0;0;0;2.11e-05;0;0;0;0;0.00458;
л;0.00567;3.17e-05;3e-05;0.000184;2.19e-05;0.0037;0.000301;1.87e-05;0.00648;0;0.000239;0.000135;5.68e-06;0.000239;0.00507;5.28e-05;0;0.00147;4.63e-05;0.00131;4.06e-06;8.12e-07;8.12e-07;0.000211;2.44e-06;2.44e-06;0;0.000649;0.00364;0;0.00092;0.00145;1.3e-05;0.00679;
м;0.00224;2.03e-05;1.62e-06;7.22e-05;3.25e-06;0.00414;0;1.62e-06;0.00215;0;6.58e-05;0.000104;2.44e-05;0.00175;0.00367;0.000112;7.87e-05;0.000125;0.000135;0.00224;5.68e-06;0;4.87e-06;5.28e-05;0;8.93e-06;0;0.000843;7.06e-05;8.12e-07;0;0.000354;0;0.00776;
н;0.00994;3.25e-06;9.74e-06;3.17e-05;0.000285;0.0111;1.62e-06;1.3e-05;0.00693;0;0.000308;8.12e-07;0;0.00253;0.0104;1.62e-06;9.01e-05;0.000263;0.000343;0.00225;4.63e-05;0;0.00016;0.000297;1.62e-05;0.000103;0;0.00249;0.0011;0;0.000157;0.00345;2.44e-06;0.0035;
о;4.06e-06;0.00321;0.00713;0.00479;0.00425;0.00195;0.00246;0.000888;0.000722;0.00273;0.00178;0.00505;0.0052;0.00546;0.000193;0.00124;0.00467;0.00559;0.00633;0.000106;0.000321;0.000327;0.000129;0.00246;0.000842;0.000185;0;0;0;2.03e-05;0.000585;0.000576;1.62e-06;0.0246;
п;0.00131;0;0;0;0;0.0021;0;0;0.000787;0;6.17e-05;0.000433;0;0.00011;0.00883;0.000535;0.00689;2.76e-05;0.000149;0.000539;8.12e-07;0;1.22e-05;1.14e-05;2.44e-06;8.12e-07;0;0.000189;5.76e-05;0;3.25e-06;0.000487;0;3.65e-05;
р;0.00661;0.000123;0.000386;0.000146;0.000718;0.00506;0.000238;3.49e-05;0.0044;0;0.000179;5.44e-05;0.0002;0.000562;0.00678;0.000115;6.58e-05;8.69e-05;0.000412;0.00228;6.58e-05;5.84e-05;1.38e-05;5.6e-05;0.000293;1.14e-05;0;0.000912;0.000896;0;0.000185;0.000983;0;0.000577;
с;0.00186;5.44e-05;0.00124;1.79e-05;0.000171;0.00375;1.79e-05;9.74e-06;0.00129;0;0.00324;0.00288;0.00118;0.000911;0.00245;0.00167;0.000127;0.000714;0.00971;0.000558;3.25e-06;0.000188;3.73e-05;0.000417;0.000115;0;1.62e-05;0.000199;0.00326;0;0.000228;0.00375;0.000653;0.0036;
т;0.00583;7.31e-06;0.00219;1.22e-05;7.39e-05;0.00549;8.12e-07;6.49e-06;0.00364;0;0.000334;0.000252;1.46e-05;0.000868;0.0145;8.6e-05;0.00238;0.0011;5.68e-05;0.00139;3.25e-06;6.49e-06;5.11e-05;0.00027;9.74e-06;2.11e-05;1.38e-05;0.00115;0.00649;8.12e-07;3.98e-05;0.000459;0;0.00575;
у;3.65e-05;0.000485;0.000667;0.00141;0.00163;0.000162;0.00159;0.000263;1.3e-05;0.000151;0.000555;0.00104;0.00128;0.000188;1.14e-05;0.000532;0.000461;0.000921;0.00153;8.12e-07;2.44e-06;0.000319;4.06e-06;0.00079;0.000549;0.000248;0;0;0;1.3e-05;0.00073;2.6e-05;0;0.00625;
ф;0.000211;0;0;0;0;0.000312;0;0;0.000452;0;0;1.14e-05;3.25e-06;1.3e-05;8.28e-05;0;6.01e-05;1.62e-06;1.46e-05;5.36e-05;1.3e-05;0;0;0;0;0;0;3.25e-06;0.000241;0;0;8.12e-07;0;2.27e-05;
х;0.000411;0;0.000196;0;0;6.82e-05;0;0;0.000112;0;3.25e-06;7.55e-05;6.33e-05;0.000126;0.00218;8.12e-07;6.41e-05;3.73e-05;1.87e-05;8.6e-05;0;8.12e-07;0;0;4.06e-06;0;0;0;0;8.12e-07;0;0;0;0.00261;
ц;0.000588;0;2.03e-05;0;0;0.000657;0;0;0.000122;0;6.74e-05;0;3.25e-06;0;0.000203;8.12e-07;0;0;3.25e-06;0.000137;0;0;0;8.12e-07;0;0;0;0.000194;0;8.12e-07;0;0;0;0.00042;
ч;0.00278;0;1.62e-06;0;0;0.00396;0;0;0.00163;0;0.000236;3.33e-05;8.12e-07;0.000852;7.06e-05;0;0.000298;2.44e-06;0.0046;0.000653;0;0;0;8.12e-07;0.00014;0;0;0;0.000196;0;0;0;8.12e-07;0.000472;
ш;0.00086;0;5.84e-05;0;0;0.00209;0;0;0.00137;0;0.000507;0.000501;1.54e-05;0.000347;0.000219;1.14e-05;1.06e-05;0;2.52e-05;0.000261;0;0;0;0;0;0;0;0;0.00044;0;8.12e-07;0;0;8.52e-05;
щ;0.000288;0;0;0;8.12e-07;0.00144;0;0;0.000469;0;0;0;0;4.87e-05;1.62e-06;0;4.06e-06;0;0;0.000107;0;0;0;0;0;0;0;0;1.7e-05;0;0;0;0;7.47e-05;
ъ;0;0;0;0;0;4.79e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62e-06;0.0002;0;0;
ы;1.62e-06;0.00014;0.000762;8.04e-05;0.000171;0.000563;1.62e-05;4.22e-05;1.3e-05;0.00128;0.000217;0.00188;0.000951;0.00027;4.87e-06;7.06e-05;0.000201;0.000731;0.000873;2.44e-06;0;0.000757;3.25e-05;0.00031;0.000438;0.00011;0;0;0;1.62e-06;0;3.25e-06;0;0.00453;
ь;2.44e-06;0.000119;3.25e-05;8.28e-05;4.71e-05;0.000614;0;0.000108;0.000132;0;0.00121;1.62e-06;0.0003;0.00132;1.06e-05;5.68e-06;1.62e-06;0.000894;0.00023;8.12e-07;5.68e-06;0;5.2e-05;8.12e-05;0.000408;5.68e-06;0;0;0;6.49e-06;0.000333;0.000405;0;0.0124;
э;0;0;3.25e-06;1.06e-05;4.06e-06;0;0;1.62e-06;0;5.68e-06;4.95e-05;1.06e-05;5.68e-06;4.87e-06;0;1.22e-05;0;3.25e-06;0.00282;0;1.38e-05;1.46e-05;0;0;8.12e-06;0;0;0;0;6.49e-06;0;0;0;3.25e-06;
ю;3.25e-06;0.000427;3.25e-06;2.44e-06;0.000284;8.12e-07;1.46e-05;6.49e-06;2.44e-06;0;6.49e-06;8.93e-06;2.19e-05;4.14e-05;9.74e-06;3.25e-06;5.03e-05;0.000197;0.000302;8.12e-07;8.12e-07;2.44e-06;8.12e-07;0.000134;2.27e-05;0.00017;0;0;0;0;2.84e-05;0;0;0.00324;
я;8.12e-07;8.93e-06;0.00026;5.52e-05;0.000507;9.98e-05;0.00011;0.00193;1.06e-05;2.52e-05;0.000177;0.000806;0.000317;0.00055;1.3e-05;3e-05;3.25e-05;0.00054;0.00154;0;0;0.00014;7.63e-05;0.000178;8.12e-06;0.000125;0;0;0;8.12e-07;0.000126;7.47e-05;0;0.0122;
ё;0;0;0;0;0;0;9.74e-06;0;0;0;0;0;8.12e-07;0;0;0;4.06e-06;8.12e-07;3.25e-06;0;8.12e-07;0;0;0;1.62e-06;0;0;0;0;0;0;0;0;0.000658;
_;0.00249;0.00673;0.0168;0.00364;0.00764;0.00417;0.0022;0.0043;0.0116;0;0.00906;0.00266;0.00609;0.0164;0.0102;0.0149;0.00373;0.0152;0.00843;0.00469;0.000824;0.00144;0.000287;0.00661;0.000562;0.00011;0;0;0;0.00292;3.17e-05;0.00296;0;0;



;;;;;;;Таблица частот пересекающихся биграмм для текста без пробелов
;а;б;в;г;д;е;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я;ё;
а;0.00056;0.00102;0.0059;0.00164;0.00303;0.0022;0.00238;0.0042;0.00163;0.000932;0.00756;0.00955;0.00457;0.00593;0.00117;0.00254;0.00258;0.00765;0.00552;0.000537;0.000221;0.00105;7.7e-05;0.00164;0.00118;0.000231;0;0;0;0.000346;0.00111;0.00261;9.74e-07;
б;0.00064;1.27e-05;6.14e-05;4.87e-06;2.53e-05;0.00281;3.9e-06;2.14e-05;0.000785;0;0.000106;0.000774;6.14e-05;0.000285;0.00221;7.79e-06;0.0011;0.000216;1.17e-05;0.00146;0;4.09e-05;1.95e-06;2.05e-05;6.82e-06;0.000226;0.000213;0.00481;4.77e-05;0.000112;1.95e-06;0.000641;0;
в;0.00711;0.000179;0.000416;0.000493;0.00124;0.00657;4.97e-05;0.000613;0.00398;0;0.000565;0.0012;0.000282;0.0025;0.0076;0.00118;0.000822;0.00518;0.000704;0.000676;1.17e-05;6.82e-05;4.87e-05;0.000345;0.000857;1.85e-05;4.87e-06;0.00364;0.00015;0.000403;1.95e-06;0.000222;0;
г;0.00131;4.48e-05;0.000119;2.44e-05;0.00138;0.000957;5.84e-06;7.01e-05;0.000655;0;0.000129;0.00198;5.55e-05;0.00035;0.0101;0.00014;0.000628;0.00013;4.09e-05;0.00052;0;3.9e-06;1.95e-06;5.65e-05;8.77e-06;0;0;0;0;5.84e-06;0;1.95e-05;0;
д;0.00638;3.31e-05;0.000895;2.63e-05;5.36e-05;0.00524;1.95e-05;5.55e-05;0.00268;0;0.000378;0.000714;7.31e-05;0.00239;0.00463;0.000143;0.00187;0.000418;0.000298;0.00182;3.9e-06;8.96e-05;0.000379;0.000112;9.25e-05;0;5.84e-06;0.000577;0.00102;1.75e-05;1.46e-05;0.000304;0;
е;0.000275;0.00266;0.00482;0.00429;0.00448;0.00228;0.00115;0.0024;0.00165;0.00262;0.00255;0.0067;0.0062;0.0109;0.00168;0.00387;0.00761;0.00734;0.00779;0.000865;9.74e-05;0.000999;0.000497;0.00215;0.00114;0.000991;0;0;0;0.000347;0.000316;0.000668;0;
ж;0.00155;6.04e-05;4.38e-05;6.82e-06;0.000992;0.00578;8.77e-06;1.36e-05;0.00165;0;8.57e-05;3.41e-05;1.75e-05;0.000918;8.38e-05;5.07e-05;1.17e-05;6.04e-05;7.11e-05;0.000253;0;5.84e-06;9.74e-07;2.14e-05;0;0;0;0;2.53e-05;2.24e-05;9.74e-07;1.56e-05;7.79e-06;
з;0.00577;0.000167;0.0013;0.000495;0.000844;0.000312;6.72e-05;7.01e-05;0.000461;0;0.000209;0.000286;0.000368;0.00237;0.000584;0.000183;0.000282;0.000179;9.64e-05;0.000363;4.87e-06;3.9e-06;1.95e-05;5.16e-05;1.95e-05;0;3.9e-05;0.000374;0.00158;3.7e-05;0.000198;0.000634;0;
и;0.00029;0.0016;0.00502;0.000885;0.00298;0.00248;0.00044;0.00286;0.00173;0.00124;0.00275;0.00671;0.00353;0.006;0.00166;0.00288;0.000929;0.00452;0.00607;0.000588;0.000168;0.00173;0.000925;0.00261;0.000764;0.000185;0;0;0;0.000253;0.000314;0.00171;0;
й;0.00014;0.000233;0.000594;0.000215;0.000659;0.000104;0.000157;0.000132;0.000707;0;0.000518;0.000123;0.000408;0.00107;0.000336;0.000696;0.00027;0.00137;0.000757;0.000144;7.31e-05;4.58e-05;8.67e-05;0.000528;0.00031;4.87e-06;0;0;0;7.01e-05;4.87e-06;7.89e-05;0;
к;0.0075;0.000516;0.000697;9.35e-05;0.000228;0.000655;0.000119;7.99e-05;0.00262;0;0.000349;0.000639;0.000155;0.00335;0.00956;0.000359;0.00186;0.000871;0.000897;0.00136;1.17e-05;5.07e-05;2.53e-05;0.00024;1.95e-05;9.74e-07;0;0;2.53e-05;0.000111;0;0.000111;0;
л;0.00692;0.000335;0.000803;0.000476;0.000314;0.00488;0.000395;0.000173;0.00843;0;0.00104;0.000292;0.000194;0.000972;0.00681;0.000638;0.000185;0.00241;0.000371;0.00173;3.99e-05;3.51e-05;7.79e-06;0.000717;2.24e-05;4.87e-06;0;0.000778;0.00437;9.25e-05;0.0011;0.00186;1.56e-05;
м;0.0028;0.000338;0.000898;0.000294;0.000505;0.00516;0.000165;0.00021;0.00334;0;0.000466;0.00028;0.000272;0.00298;0.00505;0.000978;0.000314;0.00117;0.000513;0.00301;2.53e-05;9.55e-05;1.17e-05;0.000522;4.38e-05;1.66e-05;0;0.00101;8.47e-05;9.55e-05;9.74e-07;0.000598;0;
н;0.012;0.000279;0.000445;0.000131;0.000499;0.0134;3.21e-05;0.000135;0.00861;0;0.000551;4.29e-05;0.000129;0.00343;0.0127;0.000419;0.000196;0.000729;0.000645;0.00288;0.000144;4.29e-05;0.000195;0.000481;3.6e-05;0.000124;0;0.00299;0.00133;3.9e-05;0.000189;0.00418;2.92e-06;
о;0.000269;0.00535;0.0118;0.00625;0.00629;0.00319;0.00347;0.00183;0.00252;0.00328;0.00347;0.00653;0.00738;0.00926;0.00236;0.00396;0.00627;0.00942;0.00921;0.00106;0.000458;0.000616;0.00019;0.00418;0.00111;0.000233;0;0;0;0.00048;0.000704;0.00147;1.95e-06;
п;0.00157;2.92e-06;2.92e-06;0;9.74e-07;0.00252;0;2.92e-06;0.000953;0;7.6e-05;0.000519;9.74e-07;0.000136;0.0106;0.000644;0.00827;3.41e-05;0.000181;0.000648;9.74e-07;9.74e-07;1.46e-05;1.85e-05;2.92e-06;9.74e-07;0;0.000227;6.92e-05;0;3.9e-06;0.000584;0;
р;0.00795;0.000175;0.000524;0.000185;0.000884;0.00609;0.00029;6.04e-05;0.00535;0;0.000262;7.11e-05;0.000263;0.000751;0.00819;0.000213;8.86e-05;0.000165;0.000515;0.00276;8.09e-05;7.7e-05;1.75e-05;8.96e-05;0.000353;1.36e-05;0;0.00109;0.00108;3.9e-06;0.000222;0.00119;0;
с;0.0023;0.000187;0.0018;0.000159;0.000391;0.00459;0.000269;8.96e-05;0.00173;0;0.0042;0.00355;0.00156;0.00168;0.00315;0.00237;0.000247;0.00117;0.012;0.00085;1.46e-05;0.000245;5.75e-05;0.00062;0.000155;0;1.95e-05;0.000239;0.00391;6.33e-05;0.000276;0.00453;0.000784;
т;0.00712;0.000567;0.00329;0.000127;0.000393;0.00676;8.57e-05;0.000163;0.00494;0;0.000769;0.000389;0.000251;0.00171;0.0177;0.000598;0.00301;0.00189;0.000462;0.00183;1.27e-05;4.97e-05;6.82e-05;0.000657;2.92e-05;2.53e-05;1.66e-05;0.00138;0.00779;0.000171;4.87e-05;0.00069;0;
у;0.000209;0.000751;0.00155;0.00183;0.00227;0.000344;0.00204;0.000471;0.000599;0.000181;0.0011;0.00136;0.00192;0.00114;0.0004;0.00126;0.00069;0.00168;0.00223;0.000162;3.02e-05;0.000443;7.79e-06;0.00148;0.000673;0.000297;0;0;0;0.000106;0.000877;0.00015;0;
ф;0.000255;1.95e-06;2.92e-06;0;1.95e-06;0.000375;0;9.74e-07;0.000546;0;9.74e-07;1.36e-05;3.9e-06;1.66e-05;0.000101;3.9e-06;7.31e-05;2.92e-06;1.85e-05;6.43e-05;1.66e-05;0;0;9.74e-07;0;0;0;3.9e-06;0.000289;0;0;1.95e-06;0;
х;0.000544;0.000101;0.000474;9.06e-05;0.000199;0.000148;4.19e-05;7.5e-05;0.000389;0;0.000183;0.000196;0.000176;0.000396;0.00283;0.000362;0.000145;0.000379;0.000135;0.000184;1.75e-05;2.34e-05;8.77e-06;7.31e-05;1.75e-05;4.87e-06;0;0;0;3.6e-05;9.74e-07;4.38e-05;0;
ц;0.000714;1.07e-05;7.99e-05;7.79e-06;1.66e-05;0.0008;1.95e-06;1.95e-05;0.000188;0;0.000115;6.82e-06;1.27e-05;4.97e-05;0.000279;5.94e-05;1.95e-05;4.58e-05;1.85e-05;0.000181;0;4.87e-06;0;1.85e-05;1.95e-06;0;0;0.000233;0;7.79e-06;0;8.77e-06;0;
ч;0.00335;1.85e-05;6.82e-05;1.27e-05;3.31e-05;0.00477;9.74e-07;1.07e-05;0.002;0;0.000315;4.19e-05;2.24e-05;0.00107;0.000115;7.11e-05;0.000372;5.65e-05;0.00555;0.000795;9.74e-07;3.9e-06;9.74e-07;1.56e-05;0.000169;0;0;0;0.000235;6.82e-06;0;8.77e-06;9.74e-07;
ш;0.00103;4.87e-06;8.47e-05;4.87e-06;2.92e-06;0.00251;1.95e-06;9.74e-07;0.00165;0;0.000614;0.000602;2.14e-05;0.000422;0.000272;2.63e-05;1.75e-05;1.36e-05;3.31e-05;0.000314;9.74e-07;2.92e-06;0;0;0;0;0;0;0.000528;9.74e-07;9.74e-07;2.92e-06;0;
щ;0.000348;7.79e-06;5.84e-06;1.95e-06;7.79e-06;0.00173;0;0;0.000575;0;4.87e-06;9.74e-07;1.95e-06;6.43e-05;7.79e-06;9.74e-06;6.82e-06;8.77e-06;1.95e-06;0.00013;0;0;0;2.92e-06;0;0;0;0;2.05e-05;9.74e-07;0;3.9e-06;0;
ъ;0;0;0;0;0;5.75e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.95e-06;0.00024;0;
ы;0.000114;0.000352;0.00149;0.000194;0.000508;0.000819;7.6e-05;0.000235;0.000394;0.00154;0.000538;0.00231;0.00141;0.000966;0.000289;0.000514;0.000333;0.00134;0.00139;0.00015;4.87e-06;0.000968;4.58e-05;0.000551;0.000536;0.000132;0;0;0;8.57e-05;1.95e-06;6.92e-05;0;
ь;0.000264;0.000519;0.00159;0.000345;0.000677;0.00122;8.86e-05;0.000494;0.00142;0;0.00227;0.000275;0.000896;0.00317;0.000927;0.00124;0.000287;0.00226;0.000967;0.000392;3.12e-05;0.00019;8.38e-05;0.000819;0.00052;6.43e-05;0;0;0;0.000271;0.000403;0.000847;0;
э;0;0;3.9e-06;1.27e-05;5.84e-06;0;0;1.95e-06;0;6.82e-06;5.94e-05;1.27e-05;6.82e-06;6.82e-06;0;1.46e-05;0;3.9e-06;0.00339;0;1.66e-05;1.75e-05;0;9.74e-07;9.74e-06;0;0;0;0;8.77e-06;0;0;0;
ю;6.43e-05;0.000611;0.00035;9.55e-05;0.000517;6.43e-05;0.000114;0.000102;0.000337;0;0.000245;7.31e-05;0.000231;0.000394;0.000191;0.000351;0.000146;0.000561;0.000546;9.94e-05;6.04e-05;1.85e-05;1.95e-05;0.000369;3.99e-05;0.000215;0;0;0;4.48e-05;3.51e-05;8.38e-05;0;
я;0.000229;0.000561;0.00197;0.000374;0.00128;0.000483;0.000296;0.00274;0.00127;3.02e-05;0.000995;0.00113;0.000771;0.00233;0.000838;0.00123;0.000293;0.00187;0.00259;0.000399;0.000246;0.000343;0.000107;0.000674;4.68e-05;0.000157;0;0;0;0.000179;0.000152;0.000277;0;
